,Tunnel,PegStart,PegEnd,PenetrNormMean,PenetrNormMedian,PenetrNormVariance,PenetrNormStandardDeviation,PenetrNormSkewness,PenetrNormKurtosis,PenetrRMSMean,PenetrRMSMedian,PenetrRMSVariance,PenetrRMSStandardDeviation,PenetrRMSSkewness,PenetrRMSKurtosis,RotaPressNormMean,RotaPressNormMedian,RotaPressNormVariance,RotaPressNormStandardDeviation,RotaPressNormSkewness,RotaPressNormKurtosis,RotaPressRMSMean,RotaPressRMSMedian,RotaPressRMSVariance,RotaPressRMSStandardDeviation,RotaPressRMSSkewness,RotaPressRMSKurtosis,FeedPressNormMean,FeedPressNormMedian,FeedPressNormVariance,FeedPressNormStandardDeviation,FeedPressNormSkewness,FeedPressNormKurtosis,HammerPressNormMean,HammerPressNormMedian,HammerPressNormVariance,HammerPressNormStandardDeviation,HammerPressNormSkewness,HammerPressNormKurtosis,WaterFlowNormMean,WaterFlowNormMedian,WaterFlowNormVariance,WaterFlowNormStandardDeviation,WaterFlowNormSkewness,WaterFlowNormKurtosis,WaterFlowRMSMean,WaterFlowRMSMedian,WaterFlowRMSVariance,WaterFlowRMSStandardDeviation,WaterFlowRMSSkewness,WaterFlowRMSKurtosis,Rock,transition_zone,round_length
1317,gran_west,8155.0,8156.0,20.821,26.276,377.586,19.432,-1.038,1.221,6.355,4.725,34.348,5.861,1.491,2.261,7.068,8.58,205.022,14.319,-0.594,0.583,2.929,2.009,9.085,3.014,2.027,5.21,-35.923,-36.94,204.678,14.307,1.097,2.031,-6.36,-0.275,113.837,10.669,-1.608,1.264,15.654,12.247,91.186,9.549,0.515,-0.443,1.334,0.523,4.416,2.101,2.773,8.727,Elnes_lime_shale,False,1.0
2947,brulihei_west,2535.0,2540.0,17.709,17.121,355.259,18.848,-0.14,0.426,9.152,7.072,59.391,7.707,1.125,1.012,20.421,20.672,340.201,18.445,0.009,-1.054,5.966,3.856,33.881,5.821,1.524,2.467,-17.822,-9.163,577.171,24.024,0.133,0.652,-13.978,-3.19,221.597,14.886,-0.426,-1.727,-2.91,0.277,109.496,10.464,-2.682,13.776,4.345,2.035,33.169,5.759,2.769,9.978,Granittic_gneiss,True,5.0
4856,volleberg_west,3855.0,3861.0,-9.116,-8.126,283.08,16.825,-0.913,2.235,7.359,6.79,25.093,5.009,1.148,2.713,4.874,2.188,155.922,12.487,2.17,7.638,4.153,3.295,13.529,3.678,2.731,14.242,-1.889,-0.487,147.2,12.133,-0.288,29.485,-2.795,-0.779,67.865,8.238,-2.547,5.749,-12.824,-20.525,384.299,19.604,0.666,-0.853,6.612,5.287,31.49,5.612,1.243,1.744,Amphibolittic_gneiss,False,6.0
4375,soegne_west,8193.0,8198.0,-9.108,-7.564,278.917,16.701,-2.006,7.237,5.218,4.254,13.637,3.693,1.811,5.622,-4.016,-8.338,230.852,15.194,0.782,-0.142,2.081,1.465,4.084,2.021,2.98,11.998,3.297,5.4,56.158,7.494,-5.851,41.852,2.113,0.344,26.074,5.106,-1.538,9.699,-6.263,-5.631,151.317,12.301,0.158,-0.35,3.394,1.368,14.399,3.795,1.363,1.436,Granittic_gneiss,False,5.0
2497,drammen,59269.0,59274.0,-18.69,-20.232,172.652,13.14,0.876,3.558,4.078,3.31,10.823,3.29,2.993,21.735,0.745,-0.621,175.029,13.23,0.595,0.323,3.071,2.628,5.289,2.3,2.414,11.61,1.847,6.169,133.772,11.566,-2.916,11.166,-5.427,-4.492,28.486,5.337,-3.939,18.63,12.151,12.845,167.52,12.943,0.086,-0.739,1.867,0.464,14.776,3.844,3.192,10.704,Drammensgranite,False,5.0
1256,gran_west,8089.0,8090.0,15.844,16.583,559.157,23.647,0.061,-0.149,6.823,5.615,39.234,6.264,1.164,1.604,6.786,8.037,115.18,10.732,-0.241,-0.137,3.01,2.379,8.175,2.859,1.515,3.83,-31.166,-29.186,132.153,11.496,-0.136,0.954,-5.441,-0.44,88.2,9.391,-1.68,1.762,7.422,9.065,34.929,5.91,-0.622,-0.816,0.916,0.494,2.265,1.505,4.103,21.271,Blackshale,False,1.0
3640,soegne_east,8061.0,8067.0,-4.644,-4.373,275.756,16.606,-0.482,2.618,6.424,5.661,16.81,4.1,1.807,6.396,5.421,8.631,583.597,24.158,-0.28,-0.829,3.18,2.524,6.215,2.493,2.041,6.668,6.612,10.0,99.201,9.96,-3.465,14.71,3.549,5.042,32.907,5.736,-4.368,21.059,8.442,8.799,111.712,10.569,-0.752,3.579,3.648,1.661,18.237,4.27,1.451,1.208,Amphibolittic_gneiss,False,6.0
4164,soegne_west,7014.0,7019.0,-25.419,-24.296,213.676,14.618,-0.779,1.988,4.491,3.997,11.726,3.424,2.532,16.871,8.64,17.775,796.403,28.221,-0.637,-0.525,3.161,2.567,8.201,2.864,2.71,15.864,3.751,8.988,140.093,11.836,-2.854,10.161,-0.006,2.126,48.011,6.929,-3.566,12.755,-8.511,-10.15,66.481,8.154,0.895,0.737,2.782,1.944,6.029,2.455,1.831,8.161,Amphibolittic_gneiss,False,5.0
1516,gran_west,8382.0,8383.0,7.934,8.774,446.586,21.133,-0.913,1.189,7.58,7.047,24.891,4.989,0.73,0.688,-0.258,2.58,124.932,11.177,-0.792,0.322,3.501,2.816,8.044,2.836,2.026,7.915,-29.445,-26.3,61.025,7.812,-0.218,11.498,-3.473,-0.225,78.439,8.857,-2.564,5.314,12.467,11.614,69.763,8.352,-0.14,-0.344,1.07,0.751,1.4,1.183,3.471,20.055,Huk_limestone,False,1.0
1218,gran_west,8051.0,8052.0,18.924,25.067,378.666,19.459,-1.433,2.304,6.579,5.519,29.705,5.45,1.409,2.809,10.994,12.347,109.814,10.479,-0.64,0.587,2.725,2.16,5.725,2.393,1.783,5.681,-34.741,-34.92,157.227,12.539,0.417,1.613,-3.681,-0.06,88.166,9.39,-2.437,4.473,7.522,8.505,75.913,8.713,-1.088,1.95,1.149,0.529,3.262,1.806,3.206,12.865,Elnes_lime_shale,False,1.0
4834,volleberg_west,3738.0,3744.0,1.684,-0.158,571.329,23.902,-0.29,0.658,7.11,5.985,26.296,5.128,1.539,3.866,9.445,9.289,173.269,13.163,0.584,1.229,4.288,3.257,17.208,4.148,3.343,16.96,-6.048,-3.7,301.564,17.366,-1.232,3.008,0.882,0.344,71.146,8.435,-1.913,4.644,10.978,8.679,107.451,10.366,0.737,0.794,2.149,0.894,8.184,2.861,2.677,10.208,Granittic_gneiss,False,6.0
2026,drammen,56480.0,56485.0,-46.166,-47.075,115.031,10.725,0.71,1.962,5.472,5.177,10.971,3.312,1.252,4.804,13.198,14.614,141.206,11.883,-0.388,-0.269,4.178,4.015,5.769,2.402,0.691,1.48,-6.81,-4.253,119.07,10.912,-1.15,1.361,5.461,8.141,41.589,6.449,-2.969,11.344,-4.451,-8.816,516.914,22.736,0.163,-1.128,11.561,10.81,54.044,7.351,0.359,-0.554,Hornfels,False,5.0
2827,brulihei_west,1823.0,1828.0,14.399,19.015,672.061,25.924,-0.358,-0.425,7.068,5.987,28.624,5.35,1.355,2.555,14.14,11.919,301.344,17.359,0.569,-0.444,3.846,2.626,15.773,3.972,2.543,9.515,-14.18,-8.088,284.113,16.856,-2.221,4.628,-2.257,0.0,114.502,10.701,-2.336,4.076,-12.313,-12.558,90.627,9.52,0.128,1.975,7.358,7.165,10.113,3.18,1.647,8.838,Granittic_gneiss,False,5.0
3255,mjaavann_west,993.0,998.0,25.972,27.771,306.792,17.515,-3.25,15.333,5.093,4.263,13.435,3.665,1.898,6.42,8.715,7.486,104.158,10.206,0.462,1.365,3.104,2.409,6.378,2.526,1.898,5.233,17.932,18.775,19.403,4.405,-5.855,58.261,-2.693,-2.759,3.812,1.952,-8.588,130.338,2.891,7.398,117.86,10.856,-0.753,0.324,4.619,2.651,22.653,4.76,1.048,-0.069,Granittic_gneiss,False,5.0
2915,brulihei_west,2334.0,2340.0,6.342,6.336,328.205,18.116,-0.213,2.019,6.746,5.358,31.84,5.643,2.099,7.42,5.08,3.314,145.477,12.061,0.978,1.078,3.219,2.244,10.649,3.263,3.484,28.46,-8.723,-3.7,185.73,13.628,-2.676,5.821,-3.542,-0.308,95.497,9.772,-2.68,5.295,-4.503,-4.899,28.575,5.346,-1.096,6.584,2.571,1.647,7.335,2.708,4.024,31.217,Augen_gneiss,True,6.0
4318,soegne_west,7873.0,7878.0,-3.821,-2.967,291.837,17.083,-0.732,2.86,6.578,5.359,30.036,5.481,2.461,9.514,6.24,12.805,665.4,25.795,-0.529,-0.793,4.131,3.103,15.08,3.883,2.327,8.813,3.472,10.0,240.47,15.507,-2.699,7.808,1.69,5.0,82.24,9.069,-2.899,7.427,-0.246,0.691,208.121,14.426,0.239,-0.542,4.312,2.751,18.419,4.292,1.343,1.338,Granittic_gneiss,False,5.0
578,gran_east,8226.0,8227.0,7.758,8.83,408.232,20.205,-0.716,0.892,7.364,6.437,32.572,5.707,0.806,0.429,5.552,6.205,54.945,7.412,-0.587,1.133,3.681,3.09,9.662,3.108,1.541,5.185,-32.405,-33.66,241.54,15.542,0.765,0.393,-6.304,-0.605,92.116,9.598,-1.418,0.986,16.448,19.168,86.989,9.327,0.083,-0.36,1.142,0.572,3.329,1.825,3.316,12.14,Huk_limestone,False,1.0
4490,soegne_west,8872.0,8876.0,-6.927,-5.554,377.707,19.435,-0.785,1.549,6.554,5.819,16.201,4.025,1.027,1.626,5.73,4.504,128.879,11.352,0.701,1.989,3.835,3.104,8.693,2.948,2.517,11.009,-9.64,-8.2,69.555,8.34,-4.878,28.402,1.759,0.344,39.436,6.28,-2.069,9.456,-5.205,-6.953,83.167,9.12,1.913,6.18,2.038,0.663,9.73,3.119,2.51,6.315,Amphibolittic_gneiss,False,4.0
1821,drammen,55301.0,55305.0,5.556,5.464,338.26,18.392,-0.999,5.183,4.708,3.847,17.569,4.192,2.078,7.136,-5.084,-6.483,130.776,11.436,0.34,-0.004,2.496,1.967,6.172,2.484,3.412,21.581,-5.493,-1.22,198.473,14.088,-2.621,6.677,-3.149,0.022,62.569,7.91,-2.526,5.515,-2.741,-1.306,85.523,9.248,-1.895,7.477,2.252,0.778,12.956,3.599,4.249,26.861,Drammensgranite,False,4.0
1041,gran_east,9087.0,9088.0,20.967,24.795,301.123,17.353,-1.398,3.257,5.339,3.994,29.973,5.475,1.137,0.734,-1.545,0.0,140.155,11.839,-0.258,-0.472,2.998,2.313,10.147,3.185,1.734,5.117,-43.887,-46.37,171.114,13.081,1.21,3.219,-17.625,-21.85,192.733,13.883,0.16,-1.708,11.804,11.064,58.448,7.645,0.629,0.102,0.902,0.428,1.896,1.377,2.417,5.296,Hagaberg_shale,False,1.0
3264,mjaavann_west,1042.0,1048.0,30.724,32.954,287.26,16.949,-2.244,9.315,5.603,4.841,15.882,3.985,1.68,5.423,9.817,8.083,87.491,9.354,0.702,0.497,2.915,2.19,6.47,2.544,2.872,16.265,17.522,18.775,50.711,7.121,-7.634,67.897,-3.172,-2.759,13.084,3.617,-7.425,57.561,-0.465,0.0,62.606,7.912,-0.241,0.967,4.528,3.4,15.307,3.912,0.95,0.407,Granittic_gneiss,False,6.0
780,gran_east,8605.0,8606.0,5.652,6.197,589.528,24.28,-0.212,0.437,7.591,7.021,25.507,5.05,0.877,1.137,6.11,7.385,98.622,9.931,-0.242,-0.01,3.761,3.058,8.864,2.977,2.197,10.91,-32.082,-30.07,74.451,8.629,0.201,9.997,-3.726,-0.225,71.49,8.455,-2.399,4.823,7.256,11.533,250.577,15.83,-0.142,-1.334,0.87,0.521,1.38,1.175,3.374,14.116,Huk_limestone,False,1.0
1196,gran_west,8029.0,8030.0,29.725,35.129,410.158,20.252,-1.319,2.147,5.282,3.911,31.264,5.591,2.141,5.668,8.979,8.327,125.562,11.205,0.146,1.229,2.177,1.517,6.559,2.561,3.137,16.917,-31.816,-30.93,187.714,13.701,0.543,1.04,-5.897,-0.275,109.03,10.442,-1.634,1.276,12.664,13.208,67.279,8.202,-0.324,-0.03,1.213,0.429,3.834,1.958,2.666,8.346,Elnes_lime_shale,False,1.0
3072,lindeli_west,13799.0,13804.0,-14.105,-12.678,190.198,13.791,-1.426,4.144,4.813,4.065,12.263,3.502,1.977,6.99,-9.817,-6.12,310.409,17.618,-0.051,-1.083,2.56,1.648,6.719,2.592,2.484,7.051,-9.623,0.0,376.454,19.402,-1.322,0.817,-4.58,-0.164,120.593,10.981,-2.11,2.646,4.263,1.737,45.238,6.726,1.041,1.26,1.257,0.274,3.86,1.965,1.63,1.427,Granittic_gneiss,True,5.0
2900,brulihei_west,2250.0,2256.0,-0.41,2.544,315.035,17.749,-0.886,1.994,5.269,4.214,17.342,4.164,2.043,6.136,1.142,-1.8,154.99,12.45,0.573,1.966,2.127,1.512,4.277,2.068,3.191,14.229,-6.382,-3.7,100.172,10.009,-5.091,26.133,-0.993,-0.087,26.418,5.14,-5.87,33.934,2.788,2.54,26.816,5.178,-0.055,2.596,2.984,1.983,7.193,2.682,1.301,1.293,Granittic_gneiss,True,6.0
2545,drammen,59534.0,59539.0,-6.901,-7.03,260.668,16.145,-0.244,0.802,4.187,3.451,13.838,3.72,2.37,10.556,12.113,13.548,165.379,12.86,-0.319,-0.124,2.502,2.11,6.116,2.473,4.045,30.007,8.211,12.286,267.275,16.349,-1.49,2.658,-7.25,-4.925,43.623,6.605,-2.999,8.846,-7.973,-6.978,153.858,12.404,-0.174,-0.353,2.406,0.985,12.438,3.527,2.872,10.921,Drammensgranite,False,5.0
3754,soegne_east,8712.0,8717.0,-12.212,-11.846,216.339,14.708,-1.589,6.472,5.195,4.56,11.83,3.439,2.048,8.989,5.821,6.386,361.486,19.013,0.105,-1.0,3.31,2.719,6.665,2.582,2.143,8.801,-0.642,3.25,83.904,9.16,-2.869,10.257,2.13,0.344,28.67,5.354,-1.14,5.406,-3.3,1.688,245.158,15.658,-0.231,-1.259,5.898,4.962,29.042,5.389,0.835,-0.177,Amphibolittic_gneiss,False,5.0
3891,soegne_east,9475.0,9480.0,-12.573,-9.092,311.022,17.636,-0.594,1.151,5.377,4.449,15.676,3.959,2.156,8.627,9.724,7.0,502.036,22.406,-0.08,-0.968,2.546,2.006,4.461,2.112,2.988,17.597,9.572,16.1,219.484,14.815,-1.938,2.534,-0.229,-0.036,13.557,3.682,-7.518,62.883,17.908,10.37,923.405,30.388,1.662,2.172,3.951,2.882,16.045,4.006,2.978,14.552,Amphibolittic_gneiss,False,5.0
3070,lindeli_west,13789.0,13794.0,-14.253,-13.082,169.23,13.009,-1.369,5.118,4.826,4.079,11.637,3.411,2.434,11.126,-3.754,-1.795,345.192,18.579,0.114,0.595,2.775,1.95,6.597,2.568,2.547,8.352,-2.355,5.295,200.645,14.165,-2.203,5.141,-1.764,-0.133,48.619,6.973,-3.957,14.482,4.234,3.334,46.826,6.843,0.856,2.319,1.238,0.308,3.719,1.928,1.864,3.28,Amphibolittic_gneiss,True,5.0
509,gran_east,8139.0,8140.0,4.997,2.708,365.3,19.113,-0.06,-0.16,5.248,4.548,23.136,4.81,1.047,1.223,3.556,2.712,93.679,9.679,-0.009,-0.089,2.43,1.947,5.667,2.381,1.587,4.376,-30.049,-28.45,249.833,15.806,0.092,-0.029,-6.63,-0.275,133.636,11.56,-1.49,0.597,10.705,10.908,82.54,9.085,-0.174,-0.26,1.091,0.474,2.689,1.64,2.406,6.226,Huk_limestone,False,1.0
3788,soegne_east,8905.0,8910.0,-8.681,-7.866,199.241,14.115,-1.303,4.866,6.151,5.35,15.836,3.979,1.46,4.011,6.149,4.683,131.753,11.478,1.041,2.256,4.152,3.503,8.152,2.855,1.643,4.93,-10.353,-8.725,36.808,6.067,-3.965,20.599,2.256,0.538,29.017,5.387,-1.458,7.46,-7.006,-6.938,31.948,5.652,-0.012,1.964,2.198,0.856,8.483,2.913,2.141,4.487,Amphibolittic_gneiss,True,5.0
4510,soegne_west,8984.0,8990.0,-17.108,-16.177,206.99,14.387,-1.393,4.59,5.971,5.134,18.188,4.265,1.931,7.855,4.478,4.15,168.905,12.996,0.127,-0.456,3.413,2.561,8.852,2.975,3.049,21.697,-3.959,-2.1,66.87,8.177,-3.135,25.287,1.409,0.344,52.185,7.224,-2.237,7.694,-0.526,-0.597,81.236,9.013,-0.983,5.114,3.769,1.308,21.154,4.599,1.543,2.159,Granittic_gneiss,False,6.0
31,gramunk,100671.0,100677.0,11.355,10.894,404.446,20.111,-0.412,4.07,5.633,4.565,26.147,5.113,2.859,14.991,-1.023,-0.038,123.078,11.094,-0.861,2.083,2.669,2.039,7.775,2.788,4.069,26.758,-22.312,-15.2,303.064,17.409,-0.804,-0.213,-14.223,-6.07,235.177,15.335,-0.411,-1.467,0.998,-1.615,130.323,11.416,-1.133,3.85,1.554,0.491,9.441,3.073,5.519,42.29,Rhomb_porphyry,False,6.0
381,skottas,97146.0,97150.0,-6.31,-8.242,369.545,19.224,0.062,1.612,4.201,3.307,16.3,4.037,1.964,6.197,-7.49,-6.294,147.207,12.133,-0.667,0.365,2.03,1.541,5.658,2.379,5.036,47.782,-19.822,-6.886,699.276,26.444,-0.923,-0.873,-13.113,-4.893,252.997,15.906,-0.708,-1.328,-13.225,-18.716,281.123,16.767,1.034,1.832,1.133,0.422,4.994,2.235,5.361,45.176,Rhomb_porphyry,False,4.0
677,gran_east,8426.0,8427.0,0.564,0.226,355.363,18.851,-0.495,0.549,5.416,4.276,20.569,4.535,1.117,1.304,-3.217,-1.795,107.068,10.347,-0.271,0.035,2.723,2.125,5.461,2.337,1.395,2.322,-30.044,-25.96,120.695,10.986,0.109,1.418,-4.405,-0.225,108.07,10.396,-2.198,3.186,14.531,11.81,70.415,8.391,0.792,0.234,1.014,0.476,2.443,1.563,3.001,10.226,Huk_limestone,False,1.0
388,skottas,97183.0,97188.0,-3.757,-5.467,302.164,17.383,0.134,0.793,4.676,4.056,13.804,3.715,1.488,4.173,-3.807,-0.625,176.664,13.292,-1.242,1.037,2.33,1.72,7.729,2.78,4.375,27.225,-13.743,-6.886,432.212,20.79,-1.359,0.692,-7.998,-0.647,172.748,13.143,-1.459,0.449,-3.496,-2.358,363.38,19.063,0.558,0.998,1.229,0.427,6.064,2.462,6.154,63.174,Rhomb_porphyry,False,5.0
395,skottas,97217.0,97221.5,-18.927,-21.092,259.565,16.111,-0.048,3.898,3.525,2.93,8.654,2.942,2.12,9.859,-0.588,1.619,124.142,11.142,-1.387,2.529,1.775,1.432,3.102,1.761,4.621,41.241,-14.34,-9.955,345.923,18.599,-1.443,1.566,-7.007,-0.405,174.571,13.213,-1.641,0.895,-18.117,-22.03,309.917,17.604,1.993,5.11,1.562,0.713,6.912,2.629,6.126,61.777,Rhomb_porphyry,False,4.5
1584,gran_west,8629.0,8630.0,13.116,15.151,525.287,22.919,-0.209,-0.424,6.21,4.944,29.947,5.472,1.56,3.259,-0.912,0.0,107.511,10.369,-2.038,14.578,3.302,2.383,25.935,5.093,6.489,51.891,-28.355,-27.59,190.171,13.79,-0.522,4.654,-7.727,-4.985,115.708,10.757,-4.789,34.111,-8.19,-13.315,197.822,14.065,0.79,-0.478,1.758,1.333,3.004,1.733,1.977,5.42,Blackshale,False,1.0
2498,drammen,59274.0,59280.0,-26.139,-25.767,183.545,13.548,0.489,1.474,3.782,3.233,9.696,3.114,2.799,23.293,3.013,2.895,131.496,11.467,0.051,-0.267,2.987,2.651,5.287,2.299,1.919,9.043,0.564,5.61,148.249,12.176,-2.294,7.389,-5.647,-4.709,31.823,5.641,-3.619,15.579,10.266,10.766,179.801,13.409,-0.157,-0.361,2.278,0.647,17.455,4.178,2.858,8.145,Drammensgranite,False,6.0
2508,drammen,59330.0,59336.0,-23.941,-22.904,214.902,14.66,1.089,10.87,3.748,2.986,13.265,3.642,5.118,52.682,-0.475,-0.721,202.567,14.233,0.227,-0.227,3.122,2.571,6.895,2.626,2.783,17.615,3.857,6.727,240.859,15.52,-1.685,4.052,-6.339,-4.709,37.59,6.131,-3.413,12.207,-0.269,-1.947,248.491,15.764,0.175,-0.94,2.708,1.209,15.149,3.892,2.563,6.518,Drammensgranite,False,6.0
4260,soegne_west,7537.0,7543.0,-18.004,-18.071,241.747,15.548,-0.354,1.152,7.246,6.54,21.025,4.585,1.289,3.557,8.872,9.314,593.615,24.364,-0.095,-1.123,3.707,3.108,7.58,2.753,2.386,12.737,4.869,9.988,99.81,9.99,-2.461,11.773,3.601,5.042,31.602,5.622,-4.439,22.14,9.382,8.774,43.245,6.576,0.183,3.331,2.302,0.957,8.313,2.883,2.636,14.048,Amphibolittic_gneiss,False,6.0
4743,volleberg_east,3787.0,3793.0,-13.388,-12.284,288.103,16.974,-0.937,2.533,4.911,4.138,12.756,3.572,1.8,5.189,3.371,5.042,266.008,16.31,0.091,-0.14,3.143,2.555,6.153,2.481,2.563,11.782,-0.612,-0.188,113.186,10.639,-0.527,4.08,2.033,0.344,28.657,5.353,-0.955,3.55,11.184,11.397,140.519,11.854,-0.032,0.551,2.313,0.785,10.412,3.227,2.425,6.988,Granittic_gneiss,False,6.0
1018,gran_east,9064.0,9065.0,28.378,31.099,212.304,14.571,-1.066,2.921,3.4,1.348,24.294,4.929,2.085,4.692,6.958,5.738,72.354,8.506,0.256,-0.333,1.947,0.634,8.307,2.882,2.256,6.251,-43.775,-45.52,136.545,11.685,0.821,2.062,-21.783,-28.721,160.916,12.685,0.809,-0.943,13.722,11.06,73.53,8.575,0.684,0.825,0.786,0.252,3.418,1.849,10.486,190.818,Hagaberg_shale,False,1.0
4276,soegne_west,7630.0,7635.0,-12.182,-12.345,210.838,14.52,-0.819,3.665,6.386,5.381,23.494,4.847,2.272,10.279,4.992,12.017,681.893,26.113,-0.328,-1.24,3.475,2.571,11.917,3.452,3.615,26.84,4.935,9.988,166.332,12.897,-2.861,10.759,2.684,5.042,54.809,7.403,-3.5,12.052,-12.857,-20.749,256.218,16.007,1.284,1.181,3.709,2.464,13.582,3.685,1.928,4.448,Granittic_gneiss,False,5.0
3592,soegne_east,7787.0,7792.0,-1.287,-1.178,356.966,18.894,-0.479,2.873,7.534,6.33,33.803,5.814,1.836,5.86,1.107,5.712,666.404,25.815,-0.259,-1.064,3.615,2.533,13.523,3.677,3.143,20.563,-5.914,3.5,364.954,19.104,-0.857,0.189,0.498,4.832,110.256,10.5,-2.332,4.133,0.816,5.437,193.013,13.893,-0.54,-0.315,3.885,2.256,19.485,4.414,2.077,7.011,Granittic_gneiss,False,5.0
3793,soegne_east,8931.0,8937.0,-28.039,-27.012,237.952,15.426,-0.811,1.878,4.569,3.761,11.829,3.439,2.427,11.856,1.295,-0.032,162.635,12.753,0.412,1.912,2.909,2.129,7.506,2.74,3.591,25.402,-11.359,-6.912,178.525,13.361,-2.508,10.663,0.584,0.318,62.42,7.901,-2.294,6.946,-14.057,-10.135,162.361,12.742,-0.491,-0.231,4.262,2.723,18.2,4.266,1.009,0.242,Granittic_gneiss,True,6.0
4076,soegne_west,6525.0,6530.0,-8.218,-7.36,338.199,18.39,-0.567,1.543,6.754,5.615,27.34,5.229,2.289,8.91,7.737,10.516,456.407,21.364,-0.148,-0.951,4.35,3.347,13.027,3.609,1.858,5.562,-0.906,4.5,159.078,12.613,-2.661,6.375,-0.326,2.347,67.314,8.205,-3.062,8.412,9.81,10.349,141.336,11.888,0.15,-0.268,3.073,1.628,9.857,3.14,1.589,4.215,Granittic_gneiss,False,5.0
1568,gran_west,8613.0,8614.0,10.12,7.544,355.691,18.86,0.481,-0.012,4.694,4.142,18.764,4.332,2.398,10.363,12.356,13.09,48.591,6.971,-0.317,-0.56,2.233,1.906,3.249,1.803,1.039,1.064,-27.519,-25.78,148.053,12.168,-0.34,2.426,-5.667,-0.44,101.487,10.074,-1.655,1.382,14.001,12.075,49.753,7.054,-0.052,-0.699,1.065,0.61,1.894,1.376,2.948,12.152,Blackshale,False,1.0
2810,brulihei_west,1754.0,1759.0,17.309,19.345,336.699,18.349,-2.363,8.896,5.274,4.512,16.373,4.046,1.35,3.046,8.602,2.008,282.495,16.808,0.608,-0.899,3.17,2.32,9.987,3.16,2.863,17.543,-2.647,-0.294,86.355,9.293,-4.678,22.32,-1.307,-0.277,31.294,5.594,-5.138,25.972,-5.422,-5.84,59.271,7.699,0.484,6.405,1.742,0.776,6.914,2.629,4.273,27.836,Granittic_gneiss,False,5.0
1575,gran_west,8620.0,8621.0,18.624,22.831,234.545,15.315,-0.817,-0.058,4.615,4.183,11.532,3.396,1.303,3.281,0.486,3.87,164.237,12.815,-0.594,-0.089,2.037,1.668,3.315,1.821,2.874,18.746,-29.347,-25.53,66.417,8.15,-2.017,5.411,-3.331,-0.06,71.215,8.439,-2.357,4.164,8.045,8.362,48.001,6.928,0.008,0.402,0.797,0.488,1.082,1.04,3.225,13.333,Blackshale,False,1.0
4601,soegne_west,9483.0,9488.0,-10.104,-9.089,308.98,17.578,-0.474,0.425,5.959,5.208,15.812,3.976,1.629,5.768,5.523,-1.822,375.041,19.366,0.848,-0.339,3.159,2.421,6.579,2.565,1.359,1.954,3.85,5.925,74.178,8.613,-4.437,25.561,-0.838,-0.087,20.255,4.501,-6.173,39.475,-24.275,-26.69,93.798,9.685,1.669,3.947,4.749,3.693,10.695,3.27,1.015,0.398,Amphibolittic_gneiss,False,5.0
4651,soegne_west,9758.0,9763.0,4.406,6.337,271.35,16.473,-2.09,7.373,5.943,5.517,11.453,3.384,1.167,3.455,12.192,10.092,119.24,10.92,0.792,0.278,3.48,2.887,6.599,2.569,2.149,8.951,10.78,12.35,45.032,6.711,-5.566,36.02,1.867,2.364,14.673,3.831,-7.843,66.206,-0.586,0.671,113.449,10.651,-0.359,0.514,4.626,3.704,13.748,3.708,1.015,0.324,Amphibolittic_gneiss,False,5.0
4095,soegne_west,6629.0,6634.0,-20.018,-19.286,277.511,16.659,-1.219,2.844,4.894,3.873,15.216,3.901,2.46,10.075,4.295,3.733,532.858,23.084,-0.022,-0.942,3.121,2.159,10.017,3.165,3.652,20.461,0.855,4.5,60.277,7.764,-2.998,12.318,0.528,2.168,24.298,4.929,-2.925,10.648,-1.0,-3.007,147.882,12.161,0.691,0.171,2.984,1.841,7.609,2.758,1.331,1.702,Granittic_gneiss,False,5.0
2389,drammen,58492.0,58498.0,-8.035,-8.744,239.689,15.482,0.308,1.041,4.206,3.598,12.738,3.569,2.354,12.395,-8.265,-5.072,341.772,18.487,0.136,-0.343,2.982,2.14,9.006,3.001,2.757,15.081,-4.549,-2.434,52.26,7.229,-3.998,22.806,-3.244,-0.305,76.991,8.774,-2.745,6.756,9.416,13.105,126.286,11.238,-0.819,0.078,1.379,0.481,4.582,2.14,3.1,12.12,Drammensgranite,False,6.0
3669,soegne_east,8225.0,8231.0,-9.444,-7.728,263.319,16.227,-1.61,5.33,5.299,4.608,11.951,3.457,1.872,7.911,-1.738,-4.453,241.102,15.527,0.836,0.394,2.515,1.736,5.591,2.365,2.882,14.79,2.775,5.4,80.584,8.977,-5.276,33.3,1.623,0.318,33.466,5.785,-2.195,11.757,-7.365,-7.531,159.885,12.645,0.248,0.317,3.411,1.487,14.639,3.826,1.714,4.51,Granittic_gneiss,False,6.0
871,gran_east,8816.0,8817.0,10.317,19.556,631.755,25.135,-0.571,-0.833,7.53,6.0,36.3,6.025,1.298,1.608,3.292,8.223,343.948,18.546,-0.756,-0.028,4.119,3.382,10.253,3.202,1.634,5.089,-35.783,-36.66,130.973,11.444,1.159,2.476,-5.01,-0.49,60.575,7.783,-1.816,3.23,13.86,12.452,71.913,8.48,0.523,-0.269,1.282,0.631,3.162,1.778,2.764,9.221,Blackshale,True,1.0
